Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
103,Active,Defined Contribution,Provident Fund,Segregated funds,2023,5,705," 3,766,131,404.00 "," 5,342,030.36 ",1%,173%,3.24,3%,0%,5,7%,13%,151.77
103,Active,Defined Contribution,Provident Fund,Segregated funds,2024,5,683," 3,699,966,688.00 "," 5,417,227.95 ",1%,117%,3.82,4%,0%,5,#N/A,#N/A,151.77
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,3," 9,340,824.00 "," 3,113,608.00 ",8%,356%,#N/A,36%,0%,0,7%,10%,101.78
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,147," 206,960,781.00 "," 1,407,896.47 ",2%,99%,#N/A,3%,0%,0,7%,13%,103.78
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,160," 239,627,812.00 "," 1,497,673.83 ",2%,34%,#N/A,7%,0%,0,7%,10%,101.78
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,159," 277,552,044.00 "," 1,745,610.34 ",2%,42%,#N/A,10%,0%,0,5%,10%,103.37
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,0," 307,817,981.00 ", -   ,2%,48%,#N/A,8%,0%,0,6%,9%,101.88
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,163," 360,095,383.00 "," 2,209,174.13 ",2%,29%,#N/A,11%,0%,0,5%,9%,102.55
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,0," 361,985,379.00 ", -   ,2%,96%,#N/A,6%,0%,0,5%,7%,109.51
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,161," 397,292,014.00 "," 2,467,652.26 ",2%,47%,4.36,9%,0%,1,6%,7%,111.93
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,163," 410,114,904.00 "," 2,516,042.36 ",2%,67%,3.8,2%,0%,1,9%,9%,121.95
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,160," 379,850,440.00 "," 2,374,065.25 ",2%,197%,3.61,1%,0%,1,7%,13%,151.77
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,165," 451,267,401.00 "," 2,734,953.95 ",1%,37%,3.61,19%,0%,1,#N/A,#N/A,151.77
1032,Active,Defined Benefit,,,,12,62626," 245,199,572,130.00 "," 3,915,299.91 ",-72%,-325%,#N/A,47%,0%,20,#N/A,#N/A,851.36
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,131," 28,110,588.00 "," 214,584.64 ",1%,39%,#N/A,10%,0%,0,7%,10%,101.78
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,115," 28,368,163.00 "," 246,679.68 ",1%,94%,#N/A,4%,0%,0,7%,13%,103.78
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,125," 34,824,783.00 "," 278,598.26 ",1%,5%,#N/A,8%,0%,0,7%,10%,101.78
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,125," 34,855,003.00 "," 278,840.02 ",1%,100%,#N/A,9%,0%,0,5%,10%,103.37
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,134," 39,146,317.00 "," 292,136.69 ",1%,41%,#N/A,8%,0%,0,6%,9%,101.88
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,141," 47,530,096.00 "," 337,092.88 ",0%,3%,#N/A,9%,0%,0,5%,9%,102.55
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,141," 54,224,115.00 "," 384,568.19 ",0%,26%,#N/A,7%,0%,0,5%,7%,109.51
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,131," 65,158,869.00 "," 497,395.95 ",0%,3%,2.72,8%,0%,5,6%,7%,111.93
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,134," 73,949,987.00 "," 551,865.57 ",0%,11%,2.38,6%,0%,5,9%,9%,121.95
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,151," 82,192,022.00 "," 544,318.03 ",0%,42%,2.38,9%,1%,5,7%,13%,151.77
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,153," 93,272,647.00 "," 609,625.14 ",0%,36%,3.01,10%,1%,1,#N/A,#N/A,151.77
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,80," 575,814,623.00 "," 7,197,682.79 ",1%,47%,#N/A,11%,0%,0,6%,9%,101.88
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,0," 594,191,499.00 ", -   ,1%,72%,#N/A,8%,0%,0,5%,9%,102.55
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,98," 630,384,756.00 "," 6,432,497.51 ",1%,41%,#N/A,7%,0%,0,5%,7%,109.51
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,107," 670,322,686.00 "," 6,264,698.00 ",1%,67%,3.4,15%,0%,5,6%,7%,111.93
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,104," 664,015,688.00 "," 6,384,766.23 ",1%,115%,2.95,2%,0%,5,9%,9%,121.95
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,97," 648,100,861.00 "," 6,681,452.18 ",1%,123%,2.94,7%,0%,5,7%,13%,151.77
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,94," 710,710,361.00 "," 7,560,748.52 ",1%,45%,2.94,12%,0%,5,#N/A,#N/A,151.77
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0," 230,599,176.00 ", -   ,0%,26%,#N/A,10%,0%,0,7%,10%,101.78
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 276,969,224.00 ", -   ,1%,25%,#N/A,11%,0%,0,7%,13%,103.78
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,0," 318,427,066.00 ", -   ,1%,39%,#N/A,9%,0%,0,7%,10%,101.78
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,0," 357,967,411.00 ", -   ,1%,46%,#N/A,10%,0%,0,5%,10%,103.37
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,0," 404,820,201.00 ", -   ,1%,35%,#N/A,9%,0%,0,6%,9%,101.88
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,0," 456,144,474.00 ", -   ,1%,37%,#N/A,10%,0%,0,5%,9%,102.55
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,765," 439,048,202.00 "," 573,919.22 ",1%,121%,#N/A,10%,0%,0,5%,7%,109.51
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,876," 493,443,204.00 "," 563,291.33 ",1%,34%,2.75,10%,0%,5,6%,7%,111.93
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,761," 518,697,535.00 "," 681,599.91 ",1%,70%,2.44,10%,0%,5,9%,9%,121.95
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,745," 522,573,840.00 "," 701,441.40 ",1%,95%,2.44,11%,0%,5,7%,13%,151.77
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,0," 593,360,577.00 ", -   ,1%,34%,2.03,12%,0%,1,#N/A,#N/A,151.77
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,45," 30,916,119.00 "," 687,024.87 ",0%,19%,#N/A,7%,0%,0,7%,10%,101.78
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,46," 36,139,802.00 "," 785,647.87 ",0%,10%,#N/A,2%,0%,0,7%,13%,103.78
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,36," 41,194,771.00 "," 1,144,299.19 ",0%,30%,#N/A,5%,0%,0,7%,10%,101.78
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,51," 48,893,144.00 "," 958,689.10 ",0%,37%,#N/A,9%,0%,0,5%,10%,103.37
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,51," 60,907,276.00 "," 1,194,260.31 ",1%,5%,#N/A,8%,0%,0,6%,9%,101.88
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,60," 68,166,888.00 "," 1,136,114.80 ",1%,52%,#N/A,9%,0%,0,5%,9%,102.55
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,58," 80,815,466.00 "," 1,393,370.10 ",1%,17%,#N/A,6%,0%,0,5%,7%,109.51
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,40," 99,114,041.00 "," 2,477,851.03 ",1%,12%,2.64,9%,0%,5,6%,7%,111.93
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,61," 112,608,323.00 "," 1,846,038.08 ",1%,29%,3,5%,0%,5,9%,9%,121.95
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,68," 142,092,809.00 "," 2,089,600.13 ",0%,5%,2.85,9%,0%,5,7%,13%,151.77
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,68," 168,430,488.00 "," 2,476,918.94 ",1%,24%,2.16,10%,0%,1,#N/A,#N/A,151.77
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,151," 51,264,262.00 "," 339,498.42 ",0%,40%,#N/A,11%,0%,0,7%,10%,101.78
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 52,670,002.00 ", -   ,0%,85%,#N/A,8%,0%,0,7%,13%,103.78
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,169," 57,835,300.00 "," 342,220.71 ",0%,49%,#N/A,8%,0%,0,7%,10%,101.78
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,179," 67,012,207.00 "," 374,369.87 ",0%,22%,#N/A,9%,0%,0,5%,10%,103.37
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,185," 76,227,684.00 "," 412,041.54 ",0%,25%,#N/A,8%,0%,0,6%,9%,101.88
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,191," 84,815,209.00 "," 444,058.69 ",0%,37%,#N/A,9%,0%,0,5%,9%,102.55
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,200," 81,219,980.00 "," 406,099.90 ",0%,129%,#N/A,8%,0%,0,5%,7%,109.51
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,209," 93,451,028.00 "," 447,134.11 ",1%,8%,2.72,8%,0%,5,6%,7%,111.93
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,812," 110,535,510.00 "," 136,127.48 ",1%,27%,3.36,6%,0%,5,9%,9%,121.95
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,784," 121,749,398.00 "," 155,292.60 ",0%,31%,2.96,9%,0%,5,7%,13%,151.77
1040,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 124,384,596.00 ", -   ,0%,86%,1.72,11%,0%,1,#N/A,#N/A,151.77
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 147,838,795.00 ", -   ,2%,50%,#N/A,7%,0%,0,7%,10%,101.78
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,237," 185,195,351.00 "," 781,414.98 ",2%,41%,#N/A,3%,0%,0,7%,10%,101.78
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 201,299,567.00 ", -   ,2%,79%,#N/A,9%,0%,0,5%,10%,103.37
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,267," 248,003,417.00 "," 928,851.75 ",1%,38%,#N/A,4%,0%,0,6%,9%,101.88
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,270," 283,455,649.00 "," 1,049,835.74 ",1%,59%,#N/A,7%,0%,0,5%,9%,102.55
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,271," 309,457,537.00 "," 1,141,909.73 ",1%,64%,#N/A,6%,0%,0,5%,7%,109.51
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,5,365," 363,589,185.00 "," 996,134.75 ",1%,40%,4.18,6%,0%,5,6%,7%,111.93
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,318," 420,035,664.00 "," 1,320,866.87 ",1%,45%,3.05,7%,0%,5,9%,9%,121.95
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,5,329," 487,812,094.00 "," 1,482,711.53 ",1%,33%,3.86,5%,0%,5,7%,13%,151.77
1041,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,349," 582,037,326.00 "," 1,667,728.73 ",1%,36%,2.81,10%,0%,1,#N/A,#N/A,151.77
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 68,259,304.00 ", -   ,1%,21%,#N/A,9%,4%,0,7%,10%,101.78
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 76,277,290.00 ", -   ,1%,41%,#N/A,6%,3%,0,7%,13%,103.78
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,225," 85,858,670.00 "," 381,594.09 ",1%,30%,#N/A,6%,26%,0,7%,10%,101.78
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,212," 95,593,708.00 "," 450,913.72 ",1%,30%,#N/A,6%,23%,0,5%,10%,103.37
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,0," 101,048,893.00 ", -   ,1%,57%,#N/A,5%,37%,0,6%,9%,101.88
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,204," 112,091,336.00 "," 549,467.33 ",1%,20%,#N/A,5%,36%,0,5%,9%,102.55
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,156," 125,237,903.00 "," 802,807.07 ",0%,9%,#N/A,6%,1%,0,5%,7%,109.51
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,174," 136,066,067.00 "," 781,988.89 ",1%,44%,3.52,7%,1%,5,6%,7%,111.93
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,165," 156,813,419.00 "," 950,384.36 ",0%,29%,3.36,4%,1%,5,9%,9%,121.95
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,161," 169,076,634.00 "," 1,050,165.43 ",1%,26%,3.36,6%,24%,5,7%,13%,151.77
1044,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,5,148," 175,658,849.00 "," 1,186,884.11 ",0%,66%,3.67,8%,22%,1,#N/A,#N/A,151.77
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,35," 7,425,604.00 "," 212,160.11 ",0%,3%,#N/A,5%,0%,0,7%,13%,103.78
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,37," 8,386,455.00 "," 226,660.95 ",1%,29%,#N/A,7%,2%,0,7%,10%,101.78
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,38," 9,990,634.00 "," 262,911.42 ",0%,5%,#N/A,9%,0%,0,5%,10%,103.37
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,41," 11,305,826.00 "," 275,751.85 ",1%,31%,#N/A,9%,0%,0,6%,9%,101.88
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,37," 11,497,366.00 "," 310,739.62 ",1%,91%,#N/A,9%,0%,0,5%,9%,102.55
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,39," 11,309,957.00 "," 289,998.90 ",1%,113%,#N/A,8%,0%,0,5%,7%,109.51
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,52," 13,291,069.00 "," 255,597.48 ",1%,34%,3.52,9%,0%,5,6%,7%,111.93
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,39," 15,761,851.00 "," 404,150.03 ",1%,4%,2.51,7%,0%,5,9%,9%,121.95
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,50," 17,872,627.00 "," 357,452.54 ",1%,27%,3.36,9%,0%,5,7%,13%,151.77
1045,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,51," 18,648,620.00 "," 365,659.22 ",1%,75%,2.47,10%,0%,1,#N/A,#N/A,151.77
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,195," 183,004,653.00 "," 938,485.40 ",0%,30%,#N/A,5%,0%,0,7%,13%,103.78
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,200," 206,240,562.00 "," 1,031,202.81 ",0%,40%,#N/A,6%,0%,0,7%,10%,101.78
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,226," 234,794,777.00 "," 1,038,914.94 ",0%,44%,#N/A,8%,0%,0,5%,10%,103.37
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,286," 279,626,844.00 "," 977,716.24 ",0%,21%,#N/A,9%,0%,0,6%,9%,101.88
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,304," 292,625,608.00 "," 962,584.24 ",0%,79%,#N/A,10%,0%,0,5%,9%,102.55
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,305," 319,321,406.00 "," 1,046,955.43 ",0%,56%,#N/A,9%,0%,0,5%,7%,109.51
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,332," 349,669,487.00 "," 1,053,221.35 ",0%,55%,2.57,9%,0%,5,6%,7%,111.93
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 407,592,649.00 ", -   ,0%,22%,2.27,8%,0%,5,9%,9%,121.95
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,345," 457,904,980.00 "," 1,327,260.81 ",1%,38%,2.27,9%,0%,5,7%,13%,151.77
1046,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,416," 519,272,874.00 "," 1,248,252.10 ",1%,41%,2.81,11%,0%,1,#N/A,#N/A,151.77
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,69," 55,876,901.00 "," 809,810.16 ",2%,52%,#N/A,11%,0%,0,7%,10%,101.78
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,76," 67,769,052.00 "," 891,698.05 ",2%,23%,#N/A,14%,0%,0,5%,10%,103.37
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,77," 94,166,232.00 "," 1,222,938.08 ",1%,23%,#N/A,5%,2%,0,6%,9%,101.88
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,120," 95,084,383.00 "," 792,369.86 ",1%,94%,#N/A,16%,0%,0,5%,9%,102.55
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,108," 103,857,824.00 "," 961,646.52 ",1%,44%,#N/A,7%,0%,0,5%,7%,109.51
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,118," 92,950,586.00 "," 787,716.83 ",1%,159%,4.2,11%,0%,1,6%,7%,111.93
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,101," 94,299,237.00 "," 933,655.81 ",1%,88%,3.03,3%,0%,1,9%,9%,121.95
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,100," 97,057,579.00 "," 970,575.79 ",1%,72%,3.03,0%,0%,1,7%,13%,151.77
1048,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,100," 137,309,353.00 "," 1,373,093.53 ",1%,7%,3,24%,0%,1,#N/A,#N/A,151.77
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,17," 64,994,847.00 "," 3,823,226.29 ",0%,22%,#N/A,13%,0%,0,7%,10%,101.78
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 70,987,325.00 ", -   ,0%,12%,#N/A,3%,0%,0,7%,13%,103.78
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,20," 80,649,754.00 "," 4,032,487.70 ",0%,15%,#N/A,8%,0%,0,7%,10%,101.78
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,20," 100,248,389.00 "," 5,012,419.45 ",0%,8%,#N/A,16%,0%,0,5%,10%,103.37
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,31," 111,175,885.00 "," 3,586,318.87 ",0%,28%,#N/A,6%,0%,0,6%,9%,101.88
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,32," 136,663,534.00 "," 4,270,735.44 ",1%,14%,#N/A,14%,0%,0,5%,9%,102.55
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,32," 152,088,796.00 "," 4,752,774.88 ",1%,21%,#N/A,7%,0%,0,5%,7%,109.51
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,36," 142,979,777.00 "," 3,971,660.47 ",0%,131%,3.28,12%,0%,1,6%,7%,111.93
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,50," 155,736,603.00 "," 3,114,732.06 ",0%,32%,2.28,0%,0%,1,9%,9%,121.95
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,42," 169,709,442.00 "," 4,040,701.00 ",0%,34%,2.28,1%,0%,1,7%,13%,151.77
1052,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,51," 222,485,484.00 "," 4,362,460.47 ",0%,26%,3,22%,0%,1,#N/A,#N/A,151.77
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,105," 44,312,831.00 "," 422,026.96 ",0%,134%,#N/A,12%,3%,0,7%,10%,101.78
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,79," 46,378,425.00 "," 587,068.67 ",0%,67%,#N/A,12%,0%,0,7%,13%,103.78
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,40," 16,198,684.00 "," 404,967.10 ",0%,8%,#N/A,10%,56%,0,7%,10%,101.78
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,73," 44,174,186.00 "," 605,125.84 ",0%,168%,#N/A,10%,22%,0,5%,10%,103.37
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,28," 43,784,248.00 "," 1,563,723.14 ",0%,109%,#N/A,10%,3%,0,6%,9%,101.88
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,28," 37,389,197.00 "," 1,335,328.46 ",0%,279%,#N/A,10%,10%,0,5%,9%,102.55
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,12," 35,403,892.00 "," 2,950,324.33 ",0%,160%,#N/A,9%,21%,0,5%,7%,109.51
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,12," 37,729,652.00 "," 3,144,137.67 ",0%,32%,4.4,9%,16%,5,6%,7%,111.93
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,12," 30,871,572.00 "," 2,572,631.00 ",0%,330%,3.28,10%,0%,5,9%,9%,121.95
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,7," 14,235,661.00 "," 2,033,665.86 ",0%,1059%,4.16,12%,22%,5,7%,13%,151.77
1053,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,3," 8,893,407.00 "," 2,964,469.00 ",0%,857%,4.12,8%,29%,1,#N/A,#N/A,151.77
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,104," 55,794,405.00 "," 536,484.66 ",0%,18%,#N/A,12%,0%,0,7%,10%,101.78
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,106," 65,156,265.00 "," 614,681.75 ",0%,46%,#N/A,12%,0%,0,7%,13%,103.78
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,111," 77,804,474.00 "," 700,941.21 ",0%,31%,#N/A,10%,0%,0,7%,10%,101.78
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,118," 99,203,457.00 "," 840,707.26 ",0%,6%,#N/A,9%,0%,0,5%,10%,103.37
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,113," 102,555,274.00 "," 907,568.80 ",0%,84%,#N/A,10%,0%,0,6%,9%,101.88
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,20," 125,393,871.00 "," 6,269,693.55 ",0%,11%,#N/A,9%,0%,0,5%,9%,102.55
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 152,325,003.00 ", -   ,0%,4%,#N/A,9%,0%,0,5%,7%,109.51
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,166," 177,091,281.00 "," 1,066,814.95 ",0%,21%,2.72,9%,0%,5,6%,7%,111.93
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,112," 195,531,605.00 "," 1,745,817.90 ",0%,46%,2.34,9%,0%,5,9%,9%,121.95
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,26," 206,397,614.00 "," 7,938,369.77 ",0%,72%,2.15,10%,0%,5,7%,13%,151.77
1054,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,106," 240,650,029.00 "," 2,270,283.29 ",0%,16%,1.45,9%,0%,1,#N/A,#N/A,151.77
1055,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,306," 381,366,502.00 "," 1,246,295.76 ",1%,23%,#N/A,12%,0%,0,7%,10%,101.78
1055,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,322," 398,303,298.00 "," 1,236,966.76 ",1%,62%,#N/A,4%,0%,0,7%,13%,103.78
1055,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,382," 425,041,995.00 "," 1,112,675.38 ",2%,61%,#N/A,7%,0%,0,7%,10%,101.78
